품목명,업체명,허가번호,허가일자,제조수입구분,품목상태,허가신고구분코드,추적관리대상,제조원,취소취하일자
고주파자극기,(주)원익,수허 11-324 호,20110314,수입,취소·취하,1,비대상,Venus Concept Ltd,2015-10-02
고주파자극기,(주)메가메디칼,제허 11-263 호,20110314,제조,취소·취하,1,비대상,,2020-07-01
고주파자극기,(주)신한씨스텍,수허 11-278 호,20110303,수입,취소·취하,1,비대상,Viora Ltd.,2017-05-18
고주파자극기,대양의료기(주),제허 11-176 호,20110223,제조,정상,1,비대상,,
고주파자극기,비스코인터내셔널,제허 11-114 호,20110131,제조,취소·취하,1,비대상,,2022-02-08
고주파자극기,(주)청우메디칼,제허 10-1360 호,20101231,제조,정상,1,비대상,(주)청우메디칼,
고주파자극기,(주)영인바이오텍,제허 10-1275 호,20101207,제조,취소·취하,1,비대상,,2014-07-22
고주파자극기,에이치알메디텍,제허 10-1201 호,20101112,제조,정상,1,비대상,,
고주파자극기,(주)메트로코리아,제허 10-1115 호,20101103,제조,정상,1,비대상,,
고주파자극기,(주)인스킨,제허 10-1010 호,20101005,제조,취소·취하,1,비대상,(주)옴니카코리아,2012-07-17
고주파자극기,(주)레베코인더스트리얼,제허 10-979 호,20100927,제조,취소·취하,1,비대상,레베코인더스트리얼,2018-06-22
고주파자극기,(주)이루다,제허 10-831 호,20100817,제조,취소·취하,1,비대상,(주)이루다,2014-02-05
고주파자극기,(주)메가메디칼,제허 10-750 호,20100729,제조,취소·취하,1,비대상,(주)메가메디칼,2012-10-17
고주파자극기,(주)은성글로벌,제허 10-665 호,20100709,제조,정상,1,비대상,,
고주파자극기,(주)토브메디칼,제허 10-568 호,20100609,제조,취소·취하,1,비대상,(주)토브메디칼,2012-03-21
고주파자극기,(주)메트로코리아,제허 10-554 호,20100604,제조,취소·취하,1,비대상,,2022-06-02
고주파자극기,(주)휴먼드림,제허 10-475 호,20100511,제조,정상,1,비대상,,
고주파자극기,비스코인터내셔널,제허 10-461 호,20100510,제조,정상,1,비대상,,
고주파자극기,대양의료기(주),제허 10-424 호,20100429,제조,취소·취하,1,비대상,,2017-05-10
고주파자극기,(주)미소텍비앤에이치,제허 10-400 호,20100423,제조,취소·취하,1,비대상,,2014-04-14
고주파 자극기,(주)메디파크,제허 10-361 호,20100416,제조,정상,1,비대상,,
고주파자극기,(주)아디포랩스,제허 10-246 호,20100324,제조,정상,1,비대상,,
고주파자극기,(주)아디포랩스,제허 10-247 호,20100324,제조,정상,1,비대상,,
고주파자극기,(주)인스킨,제허 10-196 호,20100312,제조,취소·취하,1,비대상,,2012-07-17
고주파자극기,선우아이앤티,제허 10-113 호,20100211,제조,취소·취하,1,비대상,,2012-10-25
고주파자극기,로얄메드,제허 09-1074 호,20091223,제조,취소·취하,1,비대상,,2015-01-07
의료용고주파온열기,바이오메디신(주),수허 09-1235 호,20091126,수입,취소·취하,1,비대상,BYTEC Medizintechnik GmbH,2021-03-29
고주파자극기,(주)쉬엔비,제허 09-917 호,20091104,제조,취소·취하,1,비대상,,2020-03-19
고주파자극기,(주)로보맥스,제허 09-918 호,20091104,제조,취소·취하,1,비대상,,2015-12-24
고주파자극기,(주)쉬엔비,제허 09-804 호,20090929,제조,취소·취하,1,비대상,,2021-02-05
고주파자극기,(주)쉬엔비,제허 09-803 호,20090929,제조,취소·취하,1,비대상,,2014-05-14
고주파자극기,에코헬스케어(주),제허 09-641 호,20090817,제조,정상,1,비대상,,
고주파 자극기,대양의료기(주),제허 09-640 호,20090817,제조,정상,1,비대상,,
고주파자극기,(주)아이티시,제허 09-527 호,20090716,제조,취소·취하,1,비대상,,2023-08-03
고주파자극기,(주)엠아이테크,제허 09-396 호,20090522,제조,취소·취하,1,비대상,,2014-05-26
고주파 자극기,(주)청우메디칼,제허 09-389 호,20090520,제조,취소·취하,1,비대상,,2025-11-18
고주파자극기,(주)비메디칼솔루션,제허 09-354 호,20090508,제조,취소·취하,1,비대상,,2012-12-07
고주파 자극기,에이치알메디텍,제허 09-332 호,20090430,제조,취소·취하,1,비대상,,2026-08-01
고주파자극기,에이치알메디텍,제허 09-331 호,20090430,제조,취소·취하,1,비대상,,2026-08-01
고주파자극기,케이엠티,제허 09-275 호,20090416,제조,취소·취하,1,비대상,케이엠티,2013-10-04
고주파자극기,(주)하배런메디엔뷰티,제허 09-159 호,20090310,제조,취소·취하,1,비대상,,2012-03-23
고주파자극기,비스코인터내셔널,제허 09-83 호,20090204,제조,취소·취하,1,비대상,,2022-02-08
고주파자극기,뷰티사이언스,제허 08-937 호,20081224,제조,취소·취하,1,비대상,,2011-04-11
고주파자극기,(주)아인스메드,제허 08-914 호,20081219,제조,취소·취하,1,비대상,,2015-06-15
고주파자극기,(주)타우세티메디텍,제허 08-888 호,20081209,제조,취소·취하,1,비대상,,2012-12-31
고주파 자극기,(주)청우메디칼,제허 08-883 호,20081208,제조,정상,1,비대상,,
고주파 자극기,(주)하드빌,제허 08-878 호,20081203,제조,취소·취하,1,비대상,,2026-07-01
고주파자극기,(주)새한메디텍,제허 08-828 호,20081120,제조,취소·취하,1,비대상,,2012-06-20
고주파자극기,(주)새한메디텍,제허 08-827 호,20081120,제조,취소·취하,1,비대상,,2012-06-20
고주파자극기,대양의료기(주),제허 08-704 호,20081007,제조,취소·취하,1,비대상,대양의료기(주),2026-07-01
고주파 자극기,봄텍전자(주),제허 08-656 호,20080922,제조,취소·취하,1,비대상,,2026-07-01
고주파자극기,(주)은성글로벌,제허 08-635 호,20080910,제조,취소·취하,1,비대상,,2015-07-14
고주파 자극기,엠엔텍,제허 08-634 호,20080910,제조,취소·취하,1,비대상,,2026-04-30
고주파 자극기,(주)아이티시,제허 08-454 호,20080714,제조,취소·취하,1,비대상,,2026-07-01
고주파자극기,(주)은성글로벌,제허 08-360 호,20080612,제조,취소·취하,1,비대상,,2013-12-17
고주파자극기,봄텍전자(주),제허 08-338 호,20080602,제조,정상,1,비대상,,
고주파자극기,(주)에너지플러스,제허 08-238 호,20080425,제조,취소·취하,1,비대상,,2012-06-20
고주파자극기,(주)드림엔텍,제허 08-231 호,20080425,제조,취소·취하,1,비대상,,2026-06-01
고주파자극기,(주)하배런메디엔뷰티,제허 08-221 호,20080422,제조,취소·취하,1,비대상,,2012-03-23
고주파자극기,(주)아이티시,제허 08-209 호,20080416,제조,취소·취하,1,비대상,,2023-08-03
고주파자극기,(주)썸텍,제허 08-172 호,20080324,제조,취소·취하,1,비대상,,2018-08-14
고주파자극기,대화기기(주),제허 08-120 호,20080303,제조,취소·취하,1,비대상,,2019-03-14
고주파 자극기,(주)다이나믹솔루션,제허 08-115 호,20080228,제조,취소·취하,1,비대상,,2026-06-01
고주파자극기,패스코(주),제허 08-5 호,20080104,제조,취소·취하,1,비대상,,2011-09-20
고주파자극기,(주)에너지플러스,제허 07-687 호,20071206,제조,취소·취하,1,비대상,,2014-07-25
고주파자극기,(주)레베코인더스트리얼,제허 07-682 호,20071204,제조,취소·취하,1,비대상,,2015-11-16
고주파자극기,(주)은성글로벌,제허 07-659 호,20071123,제조,취소·취하,1,비대상,,2013-12-17
고주파 자극기,(주)메드로메디칼디비젼,제허 07-633 호,20071112,제조,취소·취하,1,비대상,,2024-12-03
고주파자극기,(주)새한메디텍,제허 07-536 호,20070927,제조,취소·취하,1,비대상,,2012-06-20
고주파자극기,(주)새한메디텍,제허 07-533 호,20070921,제조,취소·취하,1,비대상,,2012-06-20
고주파자극기,(주)비에스피메디칼,수허 07-793 호,20070911,수입,취소·취하,1,비대상,,2010-06-09
고주파 자극기,메소드비케이,제허 07-501 호,20070911,제조,취소·취하,1,비대상,,2026-05-01
고주파자극기,(주)로보맥스,제허 07-463 호,20070823,제조,취소·취하,1,비대상,,2026-05-01
고주파자극기,(주)영인바이오텍,제허 07-433 호,20070806,제조,취소·취하,1,비대상,,2015-04-22
고주파자극기,(주)비에스인터내셔날,제허 07-346 호,20070626,제조,취소·취하,1,비대상,,2011-12-15
고주파자극기,루메니스코리아(주),수허 07-529 호,20070618,수입,취소·취하,1,비대상,Yefat Technologies Ltd.,2021-11-16
고주파자극기,엠앤비,수허 07-435 호,20070521,수입,취소·취하,1,비대상,INDIBA.S.A,2022-02-24
고주파자극기,인디바코리아,수허 07-436 호,20070521,수입,취소·취하,1,비대상,INDIBA.S.A,2014-01-02
고주파자극기,프러스,제허 07-122 호,20070307,제조,취소·취하,1,비대상,,2013-08-26
고주파자극기,프러스,제허 07-123 호,20070307,제조,취소·취하,1,비대상,,2013-08-16
고주파 자극기,코스모씨앤티,제허 07-24 호,20070112,제조,취소·취하,1,비대상,,2025-10-01
고주파자극기,코스모씨앤티,제허 07-23 호,20070112,제조,취소·취하,1,비대상,,2018-11-26
고주파자극기,(주)아이티시,제허 07-10 호,20070105,제조,취소·취하,1,비대상,,2023-08-03
고주파자극기,(주)아이티시,제허 07-3 호,20070104,제조,취소·취하,1,비대상,,2023-06-13
고주파자극기,(주)드림시스테크온,제허 06-954 호,20061214,제조,취소·취하,1,비대상,,2018-11-27
고주파자극기,세익메디칼(주),제허 06-947 호,20061207,제조,취소·취하,1,비대상,,2011-11-03
의료용고주파온열기,(주)원익,수허 06-1255 호,20061206,수입,취소·취하,1,비대상,Medical Enterprises Europe B.V.,2009-06-29
고주파자극기,엘케이텍,제허 06-939 호,20061204,제조,취소·취하,1,비대상,,2021-11-01
고주파자극기,(주)쉬엔비,제허 06-923 호,20061129,제조,취소·취하,1,비대상,,2014-05-14
고주파자극기,대화티엠,제허 06-889 호,20061123,제조,정상,1,비대상,,
고주파자극기,우진시스템,제허 06-866 호,20061117,제조,취소·취하,1,비대상,,2010-05-07
고주파자극기,(주)제테마,제허 06-826 호,20061106,제조,취소·취하,1,비대상,,2014-01-08
의료용고주파온열기,(주)하스피케어,수허 06-1101 호,20061030,수입,취소·취하,1,비대상,OncoTherm Kft.,2022-02-10
고주파자극기,(주)새한메디텍,제허 06-777 호,20061021,제조,취소·취하,1,비대상,,2012-06-20
고주파자극기,(주)하배런메디엔뷰티,제허 06-745 호,20061009,제조,취소·취하,1,비대상,,2012-03-23
고주파자극기,엘케이텍,제허 06-709 호,20060919,제조,취소·취하,1,비대상,,2021-11-01
고주파자극기,(주)쉬엔비,제허 06-632 호,20060831,제조,취소·취하,1,비대상,,2014-05-14
고주파자극기,우진시스템,제허 06-581 호,20060811,제조,취소·취하,1,비대상,,2010-05-07
고주파자극기,선우아이앤티,제허 06-542 호,20060727,제조,취소·취하,1,비대상,,2012-10-25
고주파자극기,인디바코리아,수허 06-750 호,20060713,수입,취소·취하,1,비대상,"INDIBA,S.A.",2014-01-02
고주파자극기,(주)영인바이오텍,제허 06-428 호,20060613,제조,취소·취하,1,비대상,,2014-05-26
고주파자극기,(주)청우메디칼,제허 06-368 호,20060525,제조,취소·취하,1,비대상,,2015-09-17
고주파자극기,인디바코리아,수허 06-541 호,20060525,수입,취소·취하,1,비대상,INDIBA.S.A,2014-01-02
고주파 자극기,(주)다이나믹솔루션,제허 06-290 호,20060425,제조,취소·취하,1,비대상,,2026-02-01
고주파자극기,(주)파인엠,수허 06-419 호,20060421,수입,취소·취하,1,비대상,Symetrics Elektronikk AS,2021-04-22
고주파자극기,(주)조이엠지,수허 06-373 호,20060407,수입,취소·취하,1,비대상,Alma Lasers Ltd.,2019-09-09
고주파자극기,(주)은성글로벌,제허 06-256 호,20060405,제조,취소·취하,1,비대상,,2013-12-17
